BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
1,0,N,1,5,2,,1/7/16 0:00,,3,832,Average,Average,Common Brick,Built Up,Hardwood,1,0,1152,3312 CLAY PLACE NE,WASHINGTON,DC,20019,9604
2,0,Y,1,6,2,2015,1/7/16 0:00,261000,3,578,Average,Good,Common Brick,Comp Shingle,Hardwood/Carp,1,1,4000,5129 ASTOR PLACE SE,WASHINGTON,DC,20019,9905
1,0,N,1,4,2,2016,1/7/16 0:00,230000,5,546,Average,Average,Aluminum,Comp Shingle,Hardwood,1,0,2700,321 56TH STREET NE,WASHINGTON,DC,20019,7808
2,0,Y,1,7,3,2015,1/7/16 0:00,310000,3,1216,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,1120,1340 RIDGE PLACE SE,WASHINGTON,DC,20020,7601
1,0,N,1,5,2,,1/7/16 0:00,,2,850,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2115,2025 SAVANNAH PLACE SE,WASHINGTON,DC,20020,7403
1,0,N,1,5,2,,1/7/16 0:00,216000,4,928,Average,Good,Common Brick,Built Up,Hardwood,1,0,1748,4338 MARTIN LUTHER KING JR AVENUE SW,WASHINGTON,DC,20032,9807
1,0,Y,,5,3,,1/7/16 0:00,60000,4,,,,,,,,0,995,,,,20032,9803
2,0,Y,,8,4,2015,1/7/16 0:00,425000,1,,,,,,,,0,1007,,,,20011,2202
1,0,Y,,3,1,,1/7/16 0:00,374900,2,,,,,,,,0,285,,,,20002,8402
2,0,Y,,4,2,1987,1/7/16 0:00,,3,,,,,,,,0,240,,,,20009,4201
2,0,Y,,4,2,,1/7/16 0:00,399000,2,,,,,,,,0,630,,,,20007,300
2,0,Y,,4,2,,1/7/16 0:00,579000,2,,,,,,,,0,688,,,,20007,300
2,1,Y,,5,3,2009,1/7/16 0:00,,2,,,,,,,,0,850,,,,20010,3000
1,0,Y,,5,2,2007,1/7/16 0:00,499000,3,,,,,,,,0,445,,,,20009,2702
1,1,Y,,4,2,2009,1/7/16 0:00,399500,3,,,,,,,,0,1818,,,,20012,1702
2,1,Y,,6,3,2014,1/7/16 0:00,675000,2,,,,,,,,0,684,,,,20001,3302
1,0,N,,3,1,2005,1/7/16 0:00,103845,3,,,,,,,,0,233,,,,20010,2802
1,0,Y,,3,1,,1/7/16 0:00,389000,3,,,,,,,,0,342,,,,20002,8001
4,1,Y,2,6,4,2010,1/8/16 0:00,1008500,7,1800,Average,Good,Common Brick,Built Up,Hardwood,2,0,1425,317 13TH STREET SE,WASHINGTON,DC,20003,6900
